questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,option.6,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"You are helping an e-commerce company move from a demo RAG system to a real customer support assistant. In the demo, policy details were stored as Python strings inside a list. The company now stores return, refund, and shipping policies as PDF files.

Which step should be added first so the RAG system can use these real policy files?",,,,,,2,,Hardcode each PDF page manually inside a Python list,Load the PDF documents into the Python program using a PDF-reading library,Ask the LLM to guess the policy content without reading the files,Store only the PDF file names in ChromaDB,,,,69f967d1dc9550103c69dddb,0,markdown,"The first real-world step is document ingestion: loading external documents into the program. The session specifically uses `pypdf` and `PdfReader` to read PDF pages.
- A is incorrect — it repeats the toy approach and does not scale.
- C is incorrect — it would create ungrounded answers because the LLM has no policy context.
- D is incorrect — file names alone do not contain the actual policy text needed for retrieval and generation."
mcsc,markdown,"A PDF extraction function returns text with repeated blank lines, page headers, footers, and irregular spacing. Before chunking this text, what should the pipeline do?",,,,,,1,,Clean the extracted text by removing redundant whitespace and noisy elements,Generate embeddings immediately without modifying the text,Store the raw PDF binary directly in the vector database,Increase the LLM temperature so it can handle messy text creatively,,,,69f967d1dc9550103c69dddb,0,markdown,"Cleaning is needed because raw PDF text often contains noise such as headers, footers, extra blank lines, and random whitespace. The session shows using operations such as `.replace()`, `.strip()`, and regular expressions to make the text usable.
- B is incorrect — noise would enter downstream retrieval.
- C is incorrect — raw binary does not support text-based similarity search.
- D is incorrect — temperature affects answer creativity, not document cleaning."
mcsc,markdown,"In the session's RAG pipeline, why are large policy documents split into smaller chunks?",,,,,,2,,To make each document look shorter in the file explorer,To avoid context-window overload and make retrieval more precise,To remove the need for embeddings completely,To make the LLM ignore metadata,,,,69f967d1dc9550103c69dddb,0,markdown,"Chunking prevents the system from sending huge documents to the LLM for every query. Smaller chunks reduce cost, fit better within context-window limits, and make similarity search more targeted.
- A is incorrect — unrelated to the RAG pipeline.
- C is incorrect — embeddings are still needed for similarity search.
- D is incorrect — metadata remains useful for filtering and traceability."
mcsc,markdown,A developer creates chunks of 120 words from policy pages and uses an overlap of 30 words. What is the main purpose of this overlap?,,,,,,1,,To preserve context across chunk boundaries,To make every chunk exactly twice as long,To delete duplicate information from the source PDF,To avoid using a vector database,,,,69f967d1dc9550103c69dddb,0,markdown,"Chunk overlap repeats the last few words of one chunk at the beginning of the next chunk so meaning is not lost when a sentence or idea crosses a boundary.
- B is incorrect — overlap does not double every chunk length.
- C is incorrect — overlap intentionally duplicates a small amount of text; it does not remove duplicates from the PDF.
- D is incorrect — unrelated; a vector database is still used."
mcsc,markdown,"You are designing the ChromaDB records for an e-commerce policy assistant. For each chunk, you want users to receive accurate answers and you also want the team to trace where an answer came from.

Which combination should be stored for each chunk?",,,,,,2,,Only the original PDF file name,"Chunk text, embedding vector, and metadata such as source file, page number, and policy type",Only the final answer generated by the LLM,Only the OpenAI API key and collection name,,,,69f967d1dc9550103c69dddb,0.5,markdown,"The session explains that each chunk should store the chunk text, its embedding vector, and metadata. The text is needed as retrieved context, the vector is needed for similarity search, and metadata helps with filtering and source tracing.
- A is incorrect — it lacks the content and vector representation.
- C is incorrect — outputs are stored instead of searchable knowledge.
- D is incorrect — unsafe and irrelevant to chunk-level retrieval."
mcsc,markdown,"A user asks, *""How long does a refund take?""* The system converts this query into an embedding and searches ChromaDB for the top 3 most similar chunks before building the final prompt.

Which part of RAG is mainly responsible for this search step?",,,,,,2,,Generator,Retriever,OCR engine,Virtual environment,,,,69f967d1dc9550103c69dddb,0.5,markdown,"The **Retriever** converts the query into an embedding and performs similarity search in the vector database to return the most relevant chunks. The Generator uses those chunks later to create a natural-language answer.
- A is incorrect — the Generator consumes retrieved chunks but does not run the similarity search.
- C is incorrect — OCR is only relevant for image-based or scanned text extraction.
- D is incorrect — a virtual environment is a project setup tool, not a RAG component."
mcmc,markdown,You are preparing a production-style RAG knowledge base from multiple policy PDFs. Which actions belong to the one-time pre-processing phase? *(Select all that apply.)*,,,,,,,,Load PDF documents from the `policy_documents` folder,Clean extracted page text,Split cleaned text into overlapping chunks,Ask GPT-4o to generate the final answer for a customer's live query,,,"1, 2, 3",69f967d1dc9550103c69dddb,0.5,markdown,"- **A is correct** — Loading documents from disk is part of building the knowledge base before queries run.
- **B is correct** — Cleaning prepares text for chunking and embedding during indexing.
- **C is correct** — Chunking is a core pre-processing step before embeddings are stored.
- **D is incorrect** — Answer generation belongs to the runtime phase after a user sends a query."
mcmc,markdown,A developer is choosing chunk settings for small-to-medium policy documents. Which statements match the session's guidance? *(Select all that apply.)*,,,,,,,,A chunk size of about 100 to 200 words is a reasonable starting range,An overlap of about 10% to 20% of the chunk size helps preserve context,"A 1,000-word chunk is always the best choice because larger chunks are always more accurate",Chunk size should be tested and adjusted based on answer quality,,,"1, 2, 4",69f967d1dc9550103c69dddb,0.5,markdown,"- **A is correct** — The session recommends starting with roughly 100 to 200 words for small-to-medium documents.
- **B is correct** — Roughly 10% to 20% overlap aligns with preserving context across boundaries.
- **C is incorrect** — Very large chunks may increase cost, slow retrieval, and overload the prompt; they are not always best.
- **D is correct** — The session emphasizes experimentation: adjust chunk settings based on answer quality."
mcmc,markdown,"Your RAG assistant answers refund questions correctly, but the company updates `refund_policy.pdf`. The old chunks in ChromaDB still mention the previous refund timeline.

Which actions are necessary to keep the knowledge base current? *(Select all that apply.)*",,,,,,,,Delete chunks related to the old refund policy from ChromaDB,Re-load and clean the updated refund PDF,"Re-chunk, re-embed, and store the updated chunks",Keep both old and new refund chunks so the LLM can choose whichever sounds better,,,"1, 2, 3",69f967d1dc9550103c69dddb,1,markdown,"- **A is correct** — Stale chunks can surface outdated policy unless removed or superseded deliberately.
- **B is correct** — The updated source must be ingested and cleaned like any other indexing run.
- **C is correct** — New chunks need fresh embeddings and storage so retrieval reflects the latest text.
- **D is incorrect** — Keeping outdated chunks invites contradictory retrieval and wrong final answers."
mcmc,markdown,"You are reviewing this prompt template for the Generator:

```text
Answer the customer's question using ONLY the policy information provided below.
Do NOT make up any details. If the answer is not in the context, say: ""I don't have that information.""
Keep your answer simple, clear, and customer-friendly.
```

Which benefits does this prompt design provide in the RAG pipeline? *(Select all that apply.)*",,,,,,,,It reduces hallucination by forcing the model to use only retrieved context,It gives the model a fallback when the retrieved chunks do not contain the answer,It guarantees that similarity search will always retrieve the correct chunks,It controls the tone of the final answer for a customer support scenario,,,"1, 2, 4",69f967d1dc9550103c69dddb,1,markdown,"- **A is correct** — Instructions to use only retrieved policy context ground the Generator and curb hallucinations.
- **B is correct** — The fallback sentence guides behavior when context is insufficient.
- **D is correct** — ""Simple, clear, and customer-friendly"" shapes tone for support use cases.
- **C is incorrect** — Retrieval quality depends on embeddings, chunking, metadata, and search; prompts cannot guarantee perfect retrieval."
