questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,A startup's `customers` table has **4** rows and `orders` has **6** rows. You run a **cross join** with **no** matching condition. How many rows appear in the result?,,,,,,2,,10,24,4,6,,,6a100e4f0351ba3aee144367,0,markdown,Cross join = Cartesian product: **4 × 6 = 24** rows (taught with customers × orders demo). **Why others are wrong:** 10 adds sizes; 4 and 6 are single-table counts.
mcsc,markdown,In a query you write `FROM customers AS c JOIN orders AS o`. What is the main purpose of **`c`** and **`o`** here?,,,,,,2,,They permanently rename the tables in the database schema,"They are short **table aliases** for this query only, so columns can be written as `c.customer_id`",They encrypt customer data before joining,"They are required only for `CROSS JOIN`, not for conditional joins",,,6a100e4f0351ba3aee144367,0,markdown,"**`c`** and **`o`** are **table aliases** for readability and qualified columns (`c.customer_id`), not schema renames. **Why others are wrong:** Permanent rename is wrong (aliases are query-scoped). Encryption and CROSS JOIN-only requirements are unrelated."
mcsc,markdown,"A user searches a help portal for **""remote work policy""**. The best article title is **""Work from home rules""** and shares almost no words with the query. Which approach is designed for this situation?",,,,,,2,,Keyword-only match on exact words in stored text,Semantic search using embeddings,`CROSS JOIN` without an `ON` condition,Sorting FAQ rows with `ORDER BY` only,,,6a100e4f0351ba3aee144367,0,markdown,Class used **remote work** vs **work from home** to show keyword failure and **semantic** match by meaning. **Why others are wrong:** Keyword-only is exact-word matching. `CROSS JOIN` without `ON` and `ORDER BY` alone do not search FAQ meaning.
mcsc,markdown,"In class, an **embedding** was described as:",,,,,,2,,A SQL foreign key between two tables,A sequence of numbers (a vector) representing the meaning of text,A chunking strategy that splits PDFs every 500 characters,A synonym dictionary maintained by hand,,,6a100e4f0351ba3aee144367,0,markdown,Live teaching: embedding = **sequence of numbers** representing meaning; vector = that list. **Why others are wrong:** A foreign key is SQL design. Fixed-size chunking is preprocessing. A hand-maintained synonym dictionary is the weak alternative the class argued against.
mcsc,markdown,"`customers` has `customer_id` **1, 2, 3**. `orders` has two rows linked to customers **1** and **2** only. Customer **3** has no orders. You run:

```sql
SELECT c.full_name, o.product_name
FROM orders o
JOIN customers c ON o.customer_id = c.customer_id;
```

How many rows should appear (only matching pairs are kept)?",,,,,,2,,3,2,6,0,,,6a100e4f0351ba3aee144367,0.5,markdown,Join on `customer_id` keeps only real pairs—**two** orders → **two** rows; customer **3** is excluded (demo: customer with no orders). **Why others are wrong:** 3 would include a customer without orders. 6 suggests cross join size. 0 means no matches.
mcsc,markdown,"FAQ **chunks** were embedded with **Model A**. Live user questions are embedded with **Model B** (different API, different vector length). What is the main risk?",,,,,,1,,Similarity between query and stored chunks becomes unreliable because they are not in the same vector space,PostgreSQL automatically converts Model B vectors to Model A,Chunking is no longer required,Keyword search and semantic search become identical,,,6a100e4f0351ba3aee144367,0.5,markdown,"Class stressed **same embedding model** for stored data and user query so comparisons are valid. **Why others are wrong:** PostgreSQL does not auto-convert vectors, chunking is still required, and keyword and semantic search do not become identical."
mcmc,markdown,Which steps match the **semantic search workflow** described in class for a FAQ bot?,,,,,,,,"Collect and clean source content (help pages, PDFs, etc.)",Split long documents into **chunks** before embedding,Embed the user query with the **same embedding model** used for stored chunks,Retrain a full embedding model from scratch on every single user click,Compare vectors and return the **closest** matches to the query,"1,2,3,5",6a100e4f0351ba3aee144367,0.5,markdown,Matches live workflow: collect/clean → chunk → embed with same model → compare → top matches (Swiggy/Zomato-style FAQ example). **Why D is wrong:** You **call** an embedding API/model; you do not retrain per click.
mcmc,markdown,Which statements about **chunking strategies** match what was taught?,,,,,,,,Fixed-size chunking (e.g. every N characters) was described as often **poor** because it can break meaning mid-thought,Paragraph-based chunking can suit content where each paragraph is one complete idea,Keeping related sub-points in the **same** chunk helps retrieval quality,Recursive chunking can help nested documents (sections inside sections),,"1,2,3,4",6a100e4f0351ba3aee144367,0.5,markdown,"All four strategies were named; fixed-size was called **useless** in class; paragraph, semantic, and recursive chunking were discussed with nested/legal examples."
mcmc,markdown,"Which statements about **vectors**, **semantic similarity**, and **cosine similarity** match the session (concept level—no formula required)?",,,,,,,,Similar meanings tend to produce embeddings whose numbers are **closer** when compared,**Cosine similarity** is used to find which stored vector is closest to the query vector,Every developer must hand-code the full cosine formula before semantic search can work,Mixing different embedding models for stored chunks vs live queries makes comparison unreliable,,"1,2,4",6a100e4f0351ba3aee144367,1,markdown,Class: closer numbers ≈ similar meaning; **cosine similarity** finds closest vectors; production uses built-in functions / vector DB. **Why C is wrong:** Instructor said not to worry about full maths now—libraries handle it.
mcmc,markdown,"A support system must handle: (i) **""What is order_id 7's status?""** and (ii) **""I want my payment back""** when policies use wording like **""refund eligibility.""** Which statements are **true**?",,,,,,,,Question (i) fits **structured SQL** on known columns and exact values,Question (ii) fits **semantic retrieval** over embedded policy chunks,"The system can **retrieve** relevant chunks by similarity, then let an LLM answer using that text (RAG-style flow discussed in class)",Semantic search should **replace** SQL for all inventory and status lookups,,"1,2,3",6a100e4f0351ba3aee144367,1,markdown,"SQL for exact structured facts; semantic search for paraphrased policy intent; class described retrieve-then-answer flow (RAG preview) for password/refund-style Q&A. **Why D is wrong:** Class said production uses **both** SQL and semantic search, not one replacing the other."
