questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,"A support team wants to save FAQ records in Chroma so users can search by meaning. Which Chroma object should hold the FAQ records with ids, documents, metadata, and embeddings?",,,,,,1,,Collection,Python virtual environment,SQLite Viewer extension,Terminal command history,,,6a155b5afa276dd5f895e58a,0,markdown,"A is correct because a Chroma collection is the named container that stores records with ids, documents, metadata, and embeddings.

B is incorrect because a virtual environment manages Python packages, not Chroma records. C is incorrect because SQLite Viewer is only an inspection tool. D is incorrect because terminal history does not store searchable vector records."
mcsc,markdown,"A learner creates a Chroma client using:

```python
client = chromadb.PersistentClient(path=""./chroma_store"")
```

What is the main purpose of using `PersistentClient` here?",,,,,,1,,It saves Chroma data in a local folder so it remains after the Python program ends.,It forces Chroma to delete all records after every query.,It converts plain text into embeddings automatically in every setup.,It opens a browser page for viewing search results.,,,6a155b5afa276dd5f895e58a,0,markdown,"A is correct because `PersistentClient(path=""./chroma_store"")` stores Chroma data on disk inside the specified folder.

B is incorrect because persistence is the opposite of deleting data after the program ends. C is incorrect because automatic embedding requires an embedding function, and this lab passes embeddings manually. D is incorrect because `PersistentClient` does not open a browser page."
mcsc,markdown,"In a Chroma FAQ record, which field should contain human-readable text such as `""Refunds are processed within 5 to 7 business days""`?",,,,,,1,,`document`,`id`,`embedding`,`collection.name`,,,6a155b5afa276dd5f895e58a,0,markdown,"A is correct because the document field stores the readable text that can be returned in search results.

B is incorrect because `id` is the unique key for the record. C is incorrect because an embedding is a numeric vector. D is incorrect because `collection.name` is the name of the collection, not the text inside one record."
mcsc,markdown,"A script stores six FAQ records in Chroma and then runs:

```python
print(collection.count())
```

What should `count()` help the learner verify?",,,,,,1,,The number of records currently stored in the collection,The exact wording of every user query,The model's total training dataset size,The number of CPU cores available on the laptop,,,6a155b5afa276dd5f895e58a,0,markdown,"A is correct because `collection.count()` returns how many records exist in the collection. It is a useful storage verification step after upsert.

B is incorrect because `count()` does not inspect user query text. C is incorrect because Chroma count does not reveal model training data. D is incorrect because it does not inspect hardware details."
mcsc,markdown,"A learner writes:

```python
collection = client.get_or_create_collection(
    name=""support_knowledge_base"",
    embedding_function=None,
)
```

Later, the learner wants to run a meaning-based query. What must the learner provide to `collection.query(...)` in this setup?",,,,,,1,,A query embedding created manually using the same embedding model,"Only a raw text query string, because Chroma will always embed it automatically",A SQL `SELECT` statement with a `WHERE` clause,A screenshot of the FAQ table,,,6a155b5afa276dd5f895e58a,0.5,markdown,"A is correct because `embedding_function=None` means Chroma will not embed raw text automatically. The query text must first be converted into an embedding, and the same model used for stored documents should be used.

B is incorrect because raw text works only when an embedding function is configured. C is incorrect because `query` performs vector similarity search, not SQL. D is incorrect because screenshots are not valid query inputs."
mcsc,markdown,"A FAQ collection contains an item with id `doc4` and document text about password reset. Which method should be used to fetch exactly that record by id, without running meaning-based search?",,,,,,1,,`collection.get(ids=["doc4"])`,"`collection.query(query_embeddings=..., n_results=3)`",`collection.peek()`,`model.encode(["doc4"])`,,,6a155b5afa276dd5f895e58a,0.5,markdown,"A is correct because `get(ids=[...])` fetches records by exact id, similar to a SQL lookup by primary key.

B is incorrect because `query` performs similarity search using vectors. C is incorrect because `peek()` only shows a sample of stored rows. D is incorrect because encoding the id string creates a vector but does not fetch the stored record by id."
mcmc,markdown,A learner is preparing FAQ data before calling `collection.upsert(...)`. Which lists should stay aligned so each position belongs to the same Chroma record?,,,,,,,,`ids`,`documents`,`metadatas`,`embeddings`,Browser bookmark names,"1,2,3,4",6a155b5afa276dd5f895e58a,0.5,markdown,"A, B, C, and D are correct because `upsert` receives parallel lists. The item at each index across `ids`, `documents`, `metadatas`, and `embeddings` should describe the same record.

E is incorrect because browser bookmark names are unrelated to Chroma's stored record structure."
mcmc,markdown,A team wants to verify that FAQ data was stored correctly before demonstrating similarity search. Which actions are appropriate verification steps?,,,,,,,,Use `collection.count()` to confirm the expected number of records.,Use `collection.peek()` to inspect a small sample of stored rows.,Use `collection.get(ids=["doc1"])` to fetch one known record by exact id.,Manually edit Chroma's internal SQLite files to make results look correct.,Check that stored documents and metadata are not empty or mismatched.,"1,2,3,5",6a155b5afa276dd5f895e58a,0.5,markdown,"A is correct because `count()` confirms how many records are stored. B is correct because `peek()` helps inspect sample stored data. C is correct because `get()` confirms exact id lookup works. E is correct because mismatched text and metadata can damage result quality.

D is incorrect because Chroma's SQLite files are internal storage and should not be edited manually."
mcmc,markdown,"A learner builds a search script with `SentenceTransformer(""all-MiniLM-L6-v2"")`, manually stores document embeddings, and then queries Chroma. Which statements are technically correct?",,,,,,,,The stored documents and user queries should be embedded with the same model.,The model produces 384-dimensional embeddings in this lab setup.,A larger embedding model may be slower or heavier than a smaller one.,Mixing embeddings from unrelated models in the same collection can make distances unreliable.,Chroma distances are guaranteed to be identical even if the query is embedded with a different model.,"1,2,3,4",6a155b5afa276dd5f895e58a,1,markdown,"A is correct because vector distances are meaningful only when documents and queries are encoded in the same embedding space. B is correct because `all-MiniLM-L6-v2` creates 384-dimensional embeddings. C is correct because larger models can require more compute. D is correct because mixing model outputs can make similarity scores unreliable.

E is incorrect because distances are not reliable when embeddings come from different models or incompatible vector spaces."
mcmc,markdown,"A query for `""How do I change my login password?""` is run with `n_results=2` on a tiny six-record FAQ collection. Chroma returns the password reset row first and another weaker row second. Which interpretations are correct?",,,,,,,,Rank 1 is the closest vector match among the stored records.,"Rank 2 can be weak because top-k returns the nearest available records, not only perfect answers.",Lower distance usually indicates a closer semantic match.,The second result proves that Chroma ignored the query embedding.,"If only one stored record is clearly relevant, asking for two results may still return a less useful second result.","1,2,3,5",6a155b5afa276dd5f895e58a,1,markdown,"A is correct because Chroma ranks returned items by vector closeness. B is correct because top-k retrieval returns the requested number of nearest available records, even when later ranks are only partly useful. C is correct because lower distance usually means a closer match. E is correct because a small collection may not contain multiple strongly relevant records for one query.

D is incorrect because a weak lower-ranked result does not mean Chroma ignored the query. It can simply be the next nearest vector available in the collection."
